2023-10-29 01:44:57: [TRADE] server=1 source=7012_testtdc17 srcPlayer=203438 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:116200 map=23 sviplevel=0 tviplevel=0 sexp=116.97.60.206 texp=171.242.16.82 friendDegree=0
2023-10-29 01:45:04: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10407_nam100n83 dstPlayer=203871 in=10307:1,10127:1 out= map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 01:45:06: [TRADE] server=1 source=8009_testtdc18 srcPlayer=203408 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=116.107.19.110 texp=171.242.16.82 friendDegree=0
2023-10-29 01:45:16: [TRADE] server=1 source=8010_testtdc19 srcPlayer=203426 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:116200 map=23 sviplevel=0 tviplevel=0 sexp=171.233.17.118 texp=171.242.16.82 friendDegree=0
2023-10-29 01:45:25: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10400_nam100n86 dstPlayer=203863 in=10127:2 out= map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:45:27: [TRADE] server=1 source=8021_testtdc20 srcPlayer=203423 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=116.107.17.250 texp=171.242.16.82 friendDegree=0
2023-10-29 01:45:37: [TRADE] server=1 source=8015_testtdc21 srcPlayer=203430 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=171.234.26.43 texp=171.242.16.82 friendDegree=0
2023-10-29 01:45:44: [TRADE] server=1 source=10409_nam100n84 srcPlayer=203870 target=10406_nam100n85 dstPlayer=203742 in= out=10127:1,10307:1 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 01:45:46: [TRADE] server=1 source=8000_testtdc14 srcPlayer=203427 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=116.107.20.102 texp=171.242.16.82 friendDegree=0
2023-10-29 01:46:04: [TRADE] server=1 source=10405_nam100n81 srcPlayer=203868 target=10406_nam100n85 dstPlayer=203742 in= out=10127:2 map=5 sviplevel=0 tviplevel=0 sexp=171.239.214.58 texp=103.138.109.217 friendDegree=0
2023-10-29 01:46:05: [TRADE] server=1 source=8001_testtdc13 srcPlayer=203419 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:116200 map=23 sviplevel=0 tviplevel=0 sexp=171.234.26.195 texp=171.242.16.82 friendDegree=0
2023-10-29 01:46:13: [TRADE] server=1 source=8002_testtdc12 srcPlayer=203422 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=171.242.16.82 texp=171.242.16.82 friendDegree=0
2023-10-29 01:46:21: [TRADE] server=1 source=8003_testtdc11 srcPlayer=203439 target=7458_linkvnpt01 dstPlayer=203586 in= out= map=23 sviplevel=0 tviplevel=0 sexp=171.245.96.78 texp=171.242.16.82 friendDegree=0
2023-10-29 01:46:29: [TRADE] server=1 source=8004_testtdc10 srcPlayer=203407 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=116.107.19.197 texp=171.242.16.82 friendDegree=0
2023-10-29 01:46:38: [TRADE] server=1 source=8005_testtdc09 srcPlayer=203435 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:116200 map=23 sviplevel=0 tviplevel=0 sexp=171.234.26.43 texp=171.242.16.82 friendDegree=0
2023-10-29 01:46:55: [TRADE] server=1 source=8006_testtdc08 srcPlayer=203428 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:176200 map=23 sviplevel=0 tviplevel=0 sexp=116.107.17.250 texp=171.242.16.82 friendDegree=0
2023-10-29 01:47:10: [TRADE] server=1 source=6846_testtdc02 srcPlayer=203412 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=116.107.20.102 texp=171.242.16.82 friendDegree=0
2023-10-29 01:47:21: [TRADE] server=1 source=7984_testtdc03 srcPlayer=203411 target=7458_linkvnpt01 dstPlayer=203586 in= out= map=23 sviplevel=0 tviplevel=0 sexp=171.233.16.77 texp=171.242.16.82 friendDegree=0
2023-10-29 01:47:29: [TRADE] server=1 source=7567_testtdc04 srcPlayer=203440 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=171.233.18.69 texp=171.242.16.82 friendDegree=0
2023-10-29 01:47:47: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10408_nam100n82 dstPlayer=203869 in=10127:2 out= map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
